,f1,acc
logistic_regression,0.28908356976891914,0.29533333333333334
knn,0.306490961725264,0.31
decision_tree,0.2970522539816859,0.29733333333333334
naive_bayes,0.2689544012620347,0.28
lda,0.2896955202926876,0.294
svm,0.30992875048207424,0.31733333333333336
random_forest,0.3577525202157185,0.36333333333333334
extra_trees,0.34573236699733934,0.3506666666666667
adaboost,0.2838679706717436,0.296
gradient_boosting,0.33819412110717556,0.3433333333333333
xgboost,0.3696276699988016,0.37
lightgbm,0.3751067545060925,0.37666666666666665
catboost,0.35338047564904385,0.3546666666666667
mlp,0.32896716554634553,0.33
